id,nombre,tipo,estructura,servicio,direccion,barrio,comuna,geometry
3,Estación Saludable Lagos de Palermo,Fija,Estructura Grande,Asesoría Nutricional - Control de Peso - Control de Presión Arterial - Control de Talla - Taller Cognitivo - Talleres Literarios - Actividad Física - Cumpleaños Saludables - Servicios de Enfermería - Talleres de Escritura,"Bello, Andres y Tornquist, Ernesto Av.",Palermo,Comuna 14,POINT (-58.435261772496624 -34.55535879408484)
4,Estación Saludable Manzana 66,Fija,Estructura Mediana,Talleres Literarios - Asesoría Nutricional - Control de Peso - Control de Presión Arterial - Control de Talla - Servicios de Enfermería - Actividad Física - Cumpleaños Saludables - Taller Cognitivo - Talleres de Escritura,Catamarca y Moreno,Balvanera,Comuna 3,POINT (-58.406110000000005 -34.614085)
8,Estación Saludable Parque Avellaneda,Fija,Estructura Grande,Control de Peso - Control de Presión Arterial - Actividades para Niños (Juegotecas) - Casilleros y Cambiadores - Control de Glucemia - Talleres Literarios - Actividades para Adultos Mayores - Actividad Física - Asesoría Nutricional - Control de Talla,"Lacarra Av. y Bilbao, Francisco Av.",Parque Avellaneda,Comuna 9,POINT (-58.47572790839867 -34.64563216055813)
9,Estación Saludable Parque Centenario,Fija,Estructura Grande,Asesoría Nutricional - Control de Peso - Control de Presión Arterial - Control de Talla - Servicios de Enfermería - Taller Cognitivo - Actividad Física - Talleres Literarios - Cumpleaños Saludables - Talleres de Escritura,"Machado, Antonio y Patricias Argentinas Av.",Caballito,Comuna 6,POINT (-58.437984109186594 -34.60624146018127)
10,Estación Saludable Parque Chacabuco,Fija,Estructura Grande,Cumpleaños Saludables - Talleres de Escritura - Talleres Literarios - Actividad Física - Asesoría Nutricional - Control de Peso - Control de Presión Arterial - Control de Talla - Servicios de Enfermería - Taller Cognitivo,"Asamblea Av. y Mitre, Emilio",Parque Chacabuco,Comuna 7,POINT (-58.44057176420205 -34.63468773911833)
11,Estación Saludable Parque Los Andes,Fija,Estructura Grande,Control de Talla - Cumpleaños Saludables - Servicios de Enfermería - Taller Cognitivo - Talleres de Escritura - Talleres Literarios - Asesoría Nutricional - Control de Peso - Control de Presión Arterial - Actividades para Adultos Mayores - Actividade,Corrientes Av. y Dorrego Av.,Chacarita,Comuna 15,POINT (-58.448188323419295 -34.59177121379435)
12,Estación Saludable Parque Patricios,Fija,Estructura Grande,Control de Talla - Cumpleaños Saludables - Servicios de Enfermería - Actividad Física - Taller Cognitivo - Talleres de Escritura - Talleres Literarios - Asesoría Nutricional - Control de Peso - Control de Presión Arterial,Patagones y Monteagudo,Parque Patricios,Comuna 4,POINT (-58.406366560806774 -34.638054075956866)
13,Estación Saludable Parque Rivadavia,Fija,Estructura Mediana,Actividad Física - Asesoría Nutricional - Control de Peso - Control de Presión Arterial - Cumpleaños Saludables - Servicios de Enfermería - Taller Cognitivo - Talleres de Escritura - Control de Talla - Talleres Literarios,"Rivadavia Av. y Balcarce, Florencio",Caballito,Comuna 6,POINT (-58.434739712462445 -34.61753532697676)
14,Estación Saludable Parque Saavedra,Fija,Estructura Grande,Actividad Física - Asesoría Nutricional - Control de Peso - Control de Presión Arterial - Control de Talla - Cumpleaños Saludables - Servicios de Enfermería - Taller Cognitivo - Talleres de Escritura - Talleres Literarios,"Paroissien y Perez, Roque",Saavedra,Comuna 12,POINT (-58.48205963517308 -34.55178375679957)
15,Estación Saludable Plaza Almagro,Fija,Carpa,Asesoría Nutricional - Control de Peso - Control de Presión Arterial - Control de Talla - Cumpleaños Saludables - Servicios de Enfermería - Taller Cognitivo - Talleres de Escritura - Actividad Física - Control de Glucemia - Talleres Literarios,"Salguero, Jeronimo y Sarmiento",Almagro,Comuna 5,POINT (-58.419587000000014 -34.605343000000005)
16,Estación Saludable Plaza Aristóbulo del Valle,Fija,Estructura Grande,Actividad Física - Asesoría Nutricional - Control de Peso - Control de Presión Arterial - Control de Talla - Cumpleaños Saludables - Servicios de Enfermería - Taller Cognitivo - Talleres de Escritura - Talleres Literarios,Baigorria y Cuenca,Villa Del Parque,Comuna 11,POINT (-58.493058042057015 -34.60548386683247)
18,Estación Saludable Plaza Irlanda,Móvil,Carpa,Talleres para Ejercitar tu Mente - Actividad Física - Asesoría Nutricional - Control de Peso - Control de Presión Arterial - Control de Talla - Servicios de Enfermería,Neuquen y Morelos,Caballito,Comuna 6,POINT (-58.45737200000002 -34.615758)
20,Estación Saludable Plaza La Redonda,Móvil,Carpa,Talleres para Ejercitar tu Mente - Actividad Física - Asesoría Nutricional - Control de Peso - Control de Presión Arterial - Control de Talla - Servicios de Enfermería,Juramento Av. y Vuelta De Obligado,Belgrano,Comuna 13,POINT (-58.45524739567535 -34.561571321253645)
24,Estación Saludable Plaza Rubén Darío,Fija,Estructura Grande,Actividad Física - Asesoría Nutricional - Control de Peso - Control de Presión Arterial - Control de Talla - Cumpleaños Saludables - Servicios de Enfermería - Taller Cognitivo - Talleres de Escritura - Talleres Literarios,"Agote, Luis Dr. y Del Libertador Av.",Recoleta,Comuna 2,POINT (-58.3936573066734 -34.58352353183197)
25,Estación Saludable Plaza Sudamérica,Móvil,Carpa,Talleres para Ejercitar tu Mente - Actividad Física - Asesoría Nutricional - Control de Peso - Control de Presión Arterial - Control de Talla - Servicios de Enfermería,"Fernandez De La Cruz, F., Gral. Av. y Piedra Buena Av.",Villa Riachuelo,Comuna 8,POINT (-58.4753685374746 -34.68799059786702)
26,Estación Saludable Rosedal,Fija,Estructura Grande,Actividad Física - Asesoría Nutricional - Control de Peso - Control de Presión Arterial - Control de Talla - Cumpleaños Saludables - Servicios de Enfermería - Taller Cognitivo - Talleres de Escritura - Talleres Literarios,Iraola Av. y Sarmiento Av.,Palermo,Comuna 14,POINT (-58.41293888781724 -34.571517365297495)
28,Estación Saludable Plaza Echeverría,Móvil,Carpa,Talleres para Ejercitar tu Mente - Actividad Física,Bauness 2758,Villa Urquiza,Comuna 12,POINT (-58.48979400000001 -34.57224899999999)
